CHROM	BIN_START	BIN_END	N_VARIANTS	WEIGHTED_FST	MEAN_FST
LG12	1	50000	202	0.0159939	0.01574
LG12	5001	55000	236	0.025188	0.0220969
LG12	10001	60000	259	0.0280408	0.0253066
LG12	15001	65000	266	0.0299486	0.0278962
LG12	20001	70000	272	0.0289963	0.027338
LG12	25001	75000	274	0.036364	0.0328473
LG12	30001	80000	291	0.0297146	0.0268748
LG12	35001	85000	270	0.0271166	0.0236327
LG12	40001	90000	302	0.01857	0.0167013
LG12	45001	95000	308	0.0148476	0.0109549
LG12	50001	100000	327	0.00473824	0.00384536
LG12	55001	105000	312	-0.00877044	-0.00502352
LG12	60001	110000	293	-0.0127691	-0.00801853
LG12	65001	115000	281	-0.0156529	-0.0121879
LG12	70001	120000	280	-0.0154016	-0.012108
LG12	75001	125000	292	-0.0189336	-0.0149973
LG12	80001	130000	293	-0.00937286	-0.00891154
LG12	85001	135000	315	-0.00258668	-0.00299222
LG12	90001	140000	308	0.00516705	0.00463791
LG12	95001	145000	315	0.0123498	0.0128474
LG12	100001	150000	301	0.0232222	0.0236939
LG12	105001	155000	328	0.0330952	0.0319557
LG12	110001	160000	326	0.0308333	0.0300229
LG12	115001	165000	341	0.0315809	0.0303574
LG12	120001	170000	355	0.0330829	0.0320764
LG12	125001	175000	362	0.0372098	0.036394
LG12	130001	180000	382	0.0323323	0.0346502
LG12	135001	185000	369	0.03386	0.0357398
LG12	140001	190000	359	0.0305173	0.0317528
LG12	145001	195000	350	0.0309746	0.0317826
LG12	150001	200000	355	0.0261641	0.0271645
LG12	155001	205000	326	0.0233087	0.02406
LG12	160001	210000	328	0.0270716	0.0286208
LG12	165001	215000	388	0.0310676	0.0296948
LG12	170001	220000	471	0.0332488	0.0281647
LG12	175001	225000	498	0.0374161	0.0294068
LG12	180001	230000	487	0.0448825	0.0328671
LG12	185001	235000	481	0.0447681	0.032978
LG12	190001	240000	489	0.046702	0.035505
LG12	195001	245000	496	0.0422149	0.0340677
LG12	200001	250000	484	0.0463233	0.0365807
LG12	205001	255000	502	0.0452907	0.0368797
LG12	210001	260000	517	0.0426933	0.0348527
LG12	215001	265000	450	0.0402897	0.0348981
LG12	220001	270000	367	0.0370953	0.0367372
LG12	225001	275000	366	0.0380794	0.0405441
LG12	230001	280000	392	0.0347706	0.0380664
LG12	235001	285000	421	0.0320065	0.035521
LG12	240001	290000	424	0.0333899	0.0354445
LG12	245001	295000	417	0.052601	0.0501024
LG12	250001	300000	398	0.0546603	0.0512402
LG12	255001	305000	356	0.058166	0.053064
LG12	260001	310000	336	0.0663041	0.0592558
LG12	265001	315000	334	0.0761462	0.0680477
LG12	270001	320000	325	0.0822853	0.0741285
LG12	275001	325000	295	0.0934887	0.0798759
LG12	280001	330000	241	0.105159	0.0894663
LG12	285001	335000	239	0.111591	0.0952327
LG12	290001	340000	244	0.107503	0.0886568
LG12	295001	345000	233	0.0837028	0.068076
LG12	300001	350000	272	0.082214	0.0684527
LG12	305001	355000	301	0.0793741	0.0674375
LG12	310001	360000	312	0.0733809	0.0636195
LG12	315001	365000	306	0.0626475	0.056321
LG12	320001	370000	304	0.0617727	0.0578969
LG12	325001	375000	284	0.053693	0.058283
LG12	330001	380000	288	0.0562717	0.0606189
LG12	335001	385000	280	0.0572025	0.0595447
LG12	340001	390000	281	0.0855441	0.0792529
LG12	345001	395000	295	0.09081	0.0836345
LG12	350001	400000	284	0.0879278	0.0820876
LG12	355001	405000	272	0.0909977	0.0844709
LG12	360001	410000	259	0.0903157	0.0852265
LG12	365001	415000	289	0.0876109	0.0852396
LG12	370001	420000	292	0.092587	0.0889675
LG12	375001	425000	295	0.0886733	0.0823313
LG12	380001	430000	296	0.0881174	0.0810495
LG12	385001	435000	300	0.089665	0.083473
LG12	390001	440000	300	0.068616	0.0654985
LG12	395001	445000	298	0.0564317	0.0565782
LG12	400001	450000	292	0.0536111	0.0534307
LG12	405001	455000	318	0.0490455	0.0474625
LG12	410001	460000	321	0.0485206	0.0468121
LG12	415001	465000	308	0.0396454	0.0373837
LG12	420001	470000	303	0.0327425	0.0300154
LG12	425001	475000	291	0.0308162	0.0296975
LG12	430001	480000	286	0.0310442	0.0304556
LG12	435001	485000	274	0.0258263	0.0271461
