CHR	POS1	POS2	N_CHR	R^2	D	Dprime
LG12	4152	4228	72	0.0290851	-0.0212191	-1	
LG12	4152	4262	72	0.0372578	0.0347222	0.454545	
LG12	4152	4263	72	0.0134128	-0.0208333	-0.272727	
LG12	4152	4293	72	0.0106075	-0.00848765	-1	
LG12	4152	4439	72	0.00347099	-0.00733025	-0.345455	
LG12	4152	4503	72	8.18853e-05	-0.000964506	-0.0649351	
LG12	4152	5176	72	0.00347099	-0.00733025	-0.345455	
LG12	4152	5413	72	0.00429561	0.00540123	0.114754	
LG12	4152	5455	72	0.022541	0.0169753	1	
LG12	4152	5930	72	0.000135483	0.00115741	0.0163934	
LG12	4152	7384	72	0.04769	0.037037	0.727273	
LG12	4152	7385	72	0.0455056	0.0380015	0.577713	
LG12	4152	7658	72	0.00347099	-0.00733025	-0.345455	
LG12	4152	7708	72	0.00347099	0.00733025	0.345455	
LG12	4152	7719	72	0.000135483	0.00115741	0.0163934	
LG12	4152	8053	72	0.0134573	-0.0106096	-1	
LG12	4152	8114	72	0.0620964	0.0434028	0.757576	
LG12	4152	8244	72	0.0584203	0.0432099	0.509091	
LG12	4152	8953	72	0.000745156	-0.00308642	-0.181818	
LG12	4152	9082	72	0.0665136	0.0441744	0.44294	
LG12	4152	9416	72	0.00128567	0.00327932	0.0557377	
LG12	4152	9585	72	0.0243418	-0.0243056	-0.636364	
LG12	4152	9653	72	0.0210796	-0.0221836	-0.614973	
LG12	4152	9770	72	0.0287134	0.0295139	0.515152	
LG12	4152	10017	72	0.0592188	0.0420525	0.43083	
LG12	4152	10266	72	0.0735966	0.043017	0.382504	
LG12	4152	10336	72	0.012341	-0.0158179	-0.532468	
LG12	4152	10470	72	0.0183211	0.0241127	0.366569	
LG12	4152	10818	72	0.0150757	-0.0179398	-0.563636	
LG12	4152	10858	72	0.00128567	0.00327932	0.0557377	
LG12	4152	11113	72	0.0147033	0.0129244	0.156909	
LG12	4152	11238	72	0.0257611	-0.0190972	-1	
