CHR	POS1	POS2	N_CHR	R^2	D	Dprime
LG12	4152	4228	72	0.0290851	-0.0212191	-1	
LG12	4152	4262	72	0.0372578	0.0347222	0.454545	
LG12	4152	4293	72	0.0106075	-0.00848765	-1	
LG12	4152	4439	72	0.00347099	-0.00733025	-0.345455	
LG12	4152	5413	72	0.00429561	0.00540123	0.114754	
LG12	4152	5455	72	0.022541	0.0169753	1	
LG12	4152	5930	72	0.000135483	0.00115741	0.0163934	
LG12	4152	7384	72	0.04769	0.037037	0.727273	
LG12	4152	7658	72	0.00347099	-0.00733025	-0.345455	
LG12	4152	7708	72	0.00347099	0.00733025	0.345455	
LG12	4152	7719	72	0.000135483	0.00115741	0.0163934	
LG12	4152	8244	72	0.0584203	0.0432099	0.509091	
LG12	4152	8953	72	0.000745156	-0.00308642	-0.181818	
LG12	4152	10818	72	0.0150757	-0.0179398	-0.563636	
LG12	4152	11238	72	0.0257611	-0.0190972	-1	
LG12	4152	11548	72	0.00429561	0.00540123	0.114754	
LG12	4152	11816	72	0.0134128	-0.0208333	-0.272727	
LG12	4152	12142	72	0.0503726	0.0300926	0.236364	
LG12	4152	12278	72	0.00181033	0.00713735	0.146245	
LG12	4228	4262	72	0.16129	-0.0694444	-1	
LG12	4228	4293	72	0.00948767	-0.00771605	-1	
LG12	4228	4439	72	0.0260146	-0.0192901	-1	
LG12	4228	5413	72	0.0641366	0.0200617	0.419355	
LG12	4228	5455	72	0.0201613	0.0154321	1	
LG12	4228	5930	72	0.0146628	-0.0115741	-1	
LG12	4228	7384	72	0.158065	-0.0648148	-0.7	
LG12	4228	7658	72	0.0260146	-0.0192901	-1	
LG12	4228	7708	72	0.00503642	-0.00848765	-0.0709677	
LG12	4228	7719	72	0.0146628	-0.0115741	-1	
LG12	4228	8244	72	0.0390323	-0.0339506	-0.55	
LG12	4228	8953	72	0.0201613	-0.0154321	-1	
LG12	4228	10818	72	0.342343	0.0821759	0.747368	
